goos: linux
goarch: amd64
pkg: github.com/mariadb-connector-go/mariadb/tests/benchmark
cpu: 11th Gen Intel(R) Core(TM) i9-11900K @ 3.50GHz
BenchmarkSelect1000RowsBinary/mariadb-16       	    4220	    289636 ns/op	   85736 B/op	    5658 allocs/op
BenchmarkSelect1000RowsBinary/mariadb-16       	    4200	    291094 ns/op	   85736 B/op	    5658 allocs/op
BenchmarkSelect1000RowsBinary/mariadb-16       	    3865	    298547 ns/op	   85736 B/op	    5658 allocs/op
BenchmarkSelect1000RowsBinary/mariadb-16       	    4159	    286162 ns/op	   85736 B/op	    5658 allocs/op
BenchmarkSelect1000RowsBinary/mysql-16         	    4342	    277383 ns/op	   93816 B/op	    5665 allocs/op
BenchmarkSelect1000RowsBinary/mysql-16         	    4315	    274400 ns/op	   93816 B/op	    5665 allocs/op
BenchmarkSelect1000RowsBinary/mysql-16         	    4297	    274416 ns/op	   93816 B/op	    5665 allocs/op
BenchmarkSelect1000RowsBinary/mysql-16         	    4324	    277385 ns/op	   93816 B/op	    5665 allocs/op
BenchmarkSelect1000RowsBinary/mysql-16         	    4237	    273974 ns/op	   93816 B/op	    5665 allocs/op
BenchmarkSelect1000RowsBinary/mysql-16         	    4273	    288823 ns/op	   93816 B/op	    5665 allocs/op
BenchmarkSelect1000RowsBinary/mysql-16         	    4196	    274450 ns/op	   93816 B/op	    5665 allocs/op
BenchmarkSelect1000RowsBinary/mysql-16         	    4437	    297417 ns/op	   93816 B/op	    5665 allocs/op
BenchmarkSelect1000RowsBinary/mysql-16         	    4092	    281200 ns/op	   93816 B/op	    5665 allocs/op
BenchmarkSelect1000RowsBinary/mysql-16         	    4198	    277463 ns/op	   93816 B/op	    5665 allocs/op
BenchmarkSelect1000RowsBinary/mysql-16         	    4447	    273838 ns/op	   93816 B/op	    5665 allocs/op
BenchmarkSelect1000RowsBinary/mysql-16         	    4443	    306307 ns/op	   93816 B/op	    5665 allocs/op
BenchmarkSelect1000RowsBinary/mysql-16         	    4262	    275070 ns/op	   93816 B/op	    5665 allocs/op
BenchmarkSelect1000RowsBinary/mysql-16         	    4296	    273897 ns/op	   93816 B/op	    5665 allocs/op
BenchmarkSelect1000RowsBinary/mysql-16         	    4266	    275707 ns/op	   93816 B/op	    5665 allocs/op
BenchmarkSelect1000RowsBinary/mysql-16         	    4294	    277787 ns/op	   93816 B/op	    5665 allocs/op
BenchmarkSelect1000RowsBinary/mysql-16         	    4321	    274266 ns/op	   93816 B/op	    5665 allocs/op
BenchmarkSelect1000RowsBinary/mysql-16         	    4218	    287018 ns/op	   93816 B/op	    5665 allocs/op
BenchmarkSelect1000RowsBinary/mysql-16         	    4428	    274326 ns/op	   93816 B/op	    5665 allocs/op
BenchmarkSelect1000RowsBinary/mysql-16         	    4232	    274671 ns/op	   93816 B/op	    5665 allocs/op
PASS
ok  	github.com/mariadb-connector-go/mariadb/tests/benchmark	98.402s
